,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,dealAmount,marketValue,isOpen
0,2015/1/5,15.84,15.84,15.99,16.28,15.6,16.02,92478,1.83E+11,1
1,2015/1/6,16.02,16.02,15.85,16.39,15.55,15.78,80325,1.80E+11,1
2,2015/1/7,15.78,15.78,15.56,15.83,15.3,15.48,72697,1.77E+11,1
3,2015/1/8,15.48,15.48,15.5,15.57,14.9,14.96,68734,1.71E+11,1
4,2015/1/9,14.96,14.96,14.9,15.87,14.71,15.08,99882,1.72E+11,1
5,2015/1/12,15.08,15.08,14.87,15.05,14.5,14.77,64376,1.69E+11,1
6,2015/1/13,14.77,14.77,14.65,14.9,14.61,14.68,34924,1.68E+11,1
7,2015/1/14,14.68,14.68,14.78,15.2,14.7,14.81,50675,1.69E+11,1
8,2015/1/15,14.81,14.81,14.85,15.35,14.71,15.35,54470,1.75E+11,1
9,2015/1/16,15.35,15.35,15.4,15.62,15.18,15.37,60637,1.76E+11,1
10,2015/1/19,15.37,15.37,14.01,14.57,13.83,13.83,103111,1.58E+11,1
11,2015/1/20,13.83,13.83,13.83,14.06,13.56,13.83,65826,1.58E+11,1
12,2015/1/21,13.83,13.83,13.88,14.6,13.75,14.42,78709,1.65E+11,1
13,2015/1/22,14.42,14.42,14.34,14.52,14.16,14.3,53599,1.63E+11,1
14,2015/1/23,14.3,14.3,14.36,14.63,14.3,14.4,53672,1.65E+11,1
15,2015/1/26,14.4,14.4,14.36,14.44,14.16,14.34,47025,1.64E+11,1
16,2015/1/27,14.34,14.34,14.35,14.37,13.83,13.99,61710,1.60E+11,1
17,2015/1/28,13.99,13.99,13.87,14.3,13.8,14.06,55381,1.61E+11,1
18,2015/1/29,14.06,14.06,13.82,14.01,13.75,13.9,43493,1.59E+11,1
19,2015/1/30,13.9,13.9,13.93,14.12,13.76,13.93,42061,1.59E+11,1
20,2015/2/2,13.93,13.93,13.6,13.8,13.55,13.63,36794,1.56E+11,1
21,2015/2/3,13.63,13.63,13.78,13.99,13.62,13.95,36730,1.59E+11,1
22,2015/2/4,13.95,13.95,14,14.04,13.7,13.71,36518,1.57E+11,1
23,2015/2/5,13.71,13.71,14.3,14.43,13.76,13.79,70932,1.58E+11,1
24,2015/2/6,13.79,13.79,13.69,13.95,13.4,13.51,41861,1.54E+11,1
25,2015/2/9,13.51,13.51,13.5,13.68,13.22,13.52,40359,1.54E+11,1
26,2015/2/10,13.52,13.52,13.49,13.82,13.42,13.77,31639,1.57E+11,1
27,2015/2/11,13.77,13.77,13.78,13.85,13.68,13.73,25377,1.57E+11,1
28,2015/2/12,13.73,13.73,13.75,13.9,13.62,13.86,26754,1.58E+11,1
29,2015/2/13,13.86,13.86,13.93,14.18,13.84,13.95,40057,1.59E+11,1
30,2015/2/16,13.95,13.95,13.95,14.01,13.73,13.92,33530,1.59E+11,1
31,2015/2/17,13.92,13.92,13.96,14.11,13.93,13.99,28204,1.60E+11,1
32,2015/2/25,13.99,13.99,14.04,14.05,13.76,13.8,27758,1.58E+11,1
33,2015/2/26,13.8,13.8,13.8,14.08,13.6,14.07,43423,1.61E+11,1
34,2015/2/27,14.07,14.07,14.06,14.16,13.96,13.99,36250,1.60E+11,1
35,2015/3/2,13.99,13.99,14.03,14.09,13.87,14.03,44197,1.60E+11,1
36,2015/3/3,14.03,14.03,13.98,13.98,13.59,13.6,56118,1.55E+11,1
37,2015/3/4,13.6,13.6,13.62,13.72,13.5,13.57,38655,1.55E+11,1
38,2015/3/5,13.57,13.57,13.5,13.53,13.29,13.38,47331,1.53E+11,1
39,2015/3/6,13.38,13.38,13.37,13.51,13.35,13.44,27683,1.54E+11,1
40,2015/3/9,13.44,13.44,13.47,14.34,13.32,14.15,97151,1.62E+11,1
41,2015/3/10,14.15,14.15,14,14.12,13.77,13.77,58427,1.57E+11,1
42,2015/3/11,13.77,13.77,13.79,14.08,13.79,13.86,40758,1.58E+11,1
43,2015/3/12,13.86,13.86,14.2,14.96,14.08,14.6,133212,1.67E+11,1
44,2015/3/13,14.6,14.6,14.9,15.61,14.8,14.99,138101,1.71E+11,1
45,2015/3/16,14.99,14.99,15.1,15.5,14.92,15.41,87756,1.76E+11,1
46,2015/3/17,15.41,15.41,15.51,15.8,15.25,15.4,86163,1.76E+11,1
47,2015/3/18,15.4,15.4,15.36,15.58,15.29,15.51,76327,1.77E+11,1
48,2015/3/19,15.51,15.51,15.48,15.48,15.12,15.19,74068,1.74E+11,1
49,2015/3/20,15.19,15.19,15.19,15.55,15.06,15.32,87524,1.75E+11,1
50,2015/3/23,15.32,15.32,15.33,15.56,15.33,15.43,68827,1.76E+11,1
51,2015/3/24,15.43,15.43,15.43,15.59,15.22,15.35,69365,1.75E+11,1
52,2015/3/25,15.35,15.35,15.28,15.32,14.89,14.91,82836,1.70E+11,1
53,2015/3/26,14.91,14.91,14.86,15.42,14.71,15.11,68419,1.73E+11,1
54,2015/3/27,15.11,15.11,15.1,15.29,14.86,15.08,48597,1.72E+11,1
55,2015/3/30,15.08,15.08,15.23,15.94,15.1,15.66,110092,1.79E+11,1
56,2015/3/31,15.66,15.66,16.04,16.6,15.63,15.75,114032,1.80E+11,1
57,2015/4/1,15.75,15.75,15.82,16.14,15.55,15.96,72105,1.82E+11,1
58,2015/4/2,15.96,15.96,16.09,16.14,15.62,15.8,72424,1.81E+11,1
59,2015/4/3,15.8,15.8,15.7,15.94,15.61,15.85,61025,1.81E+11,1
60,2015/4/7,15.85,15.85,16.15,16.96,16.15,16.81,131387,1.92E+11,1
61,2015/4/8,16.81,16.81,16.93,18.08,16.65,17.92,135077,2.05E+11,1
62,2015/4/9,17.92,17.92,17.95,19.05,17.73,18,148293,2.06E+11,1
63,2015/4/10,18,18,18,19.8,17.85,19.8,139375,2.26E+11,1
64,2015/4/13,16.36,19.8,17,17.16,16.15,16.54,252667,2.27E+11,1
65,2015/4/14,16.54,16.54,16.5,16.5,16.1,16.3,146941,2.23E+11,1
66,2015/4/15,16.3,16.3,16.3,17.28,16.1,16.65,185952,2.28E+11,1
67,2015/4/16,16.65,16.65,16.34,17.1,16.25,17,137711,2.33E+11,1
68,2015/4/17,17,17,17.5,17.5,16.8,16.93,143174,2.32E+11,1
69,2015/4/20,16.93,16.93,17.1,17.2,16.16,16.3,185514,2.23E+11,1
70,2015/4/21,16.3,16.3,16.32,16.7,15.98,16.56,130944,2.27E+11,1
71,2015/4/22,16.56,16.56,16.58,16.98,16.5,16.95,140086,2.32E+11,1
72,2015/4/23,16.95,16.95,16.98,17.04,16.56,16.66,120787,2.28E+11,1
73,2015/4/24,16.66,16.66,16.3,16.51,16.01,16.14,155190,2.21E+11,1
74,2015/4/27,16.14,16.14,16.21,16.6,16.2,16.42,109503,2.25E+11,1
75,2015/4/28,16.42,16.42,16.45,17.38,16.22,16.7,229980,2.29E+11,1
76,2015/4/29,16.7,16.7,16.66,16.75,16.2,16.65,96370,2.28E+11,1
77,2015/4/30,16.65,16.65,16.83,17.26,16.68,16.7,120845,2.29E+11,1
78,2015/5/4,16.7,16.7,16.7,16.7,16.28,16.52,73299,2.26E+11,1
79,2015/5/5,16.52,16.52,16.41,16.52,15.5,15.86,128803,2.17E+11,1
80,2015/5/6,15.86,15.86,15.82,16.3,15.49,15.72,92870,2.16E+11,1
81,2015/5/7,15.72,15.72,15.72,15.88,15.5,15.67,68336,2.15E+11,1
82,2015/5/8,15.67,15.67,15.71,15.98,15.5,15.85,63265,2.17E+11,1
83,2015/5/11,15.85,15.85,15.8,16.12,15.49,16.03,96857,2.20E+11,1
84,2015/5/12,16.03,16.03,15.98,16.18,15.65,15.96,87455,2.19E+11,1
85,2015/5/13,15.96,15.96,16.18,16.25,15.74,15.88,83561,2.18E+11,1
86,2015/5/14,15.88,15.88,16,16.05,15.69,15.89,69898,2.18E+11,1
87,2015/5/15,15.89,15.89,15.8,15.88,15.27,15.45,90932,2.12E+11,1
88,2015/5/18,15.45,15.45,15.2,15.35,14.97,15.18,85218,2.08E+11,1
89,2015/5/19,15.18,15.18,15.17,15.74,15.05,15.59,91077,2.14E+11,1
90,2015/5/20,15.59,15.59,16.01,16.15,15.6,15.74,119745,2.16E+11,1
91,2015/5/21,15.74,15.74,15.8,15.89,15.62,15.79,71273,2.26E+11,1
92,2015/5/22,15.79,15.79,15.91,16.3,15.82,16.27,125037,2.33E+11,1
93,2015/5/25,16.27,16.27,16.35,16.71,16.35,16.6,119634,2.38E+11,1
94,2015/5/26,16.6,16.6,16.63,16.7,16.28,16.62,126154,2.38E+11,1
95,2015/5/27,16.62,16.62,16.62,16.91,16.4,16.48,107014,2.36E+11,1
96,2015/5/28,16.48,16.48,16.5,16.51,15.43,15.5,137909,2.22E+11,1
97,2015/5/29,15.5,15.5,15.51,15.67,15.11,15.32,99260,2.19E+11,1
98,2015/6/1,15.32,15.32,15.33,15.98,15.19,15.9,95904,2.28E+11,1
99,2015/6/2,15.9,15.9,15.89,15.9,15.52,15.77,89653,2.26E+11,1
100,2015/6/3,15.77,15.77,15.77,15.95,15.5,15.83,93394,2.27E+11,1
101,2015/6/4,15.83,15.83,15.85,16.58,15.66,16.37,174565,2.34E+11,1
102,2015/6/5,16.37,16.37,16.7,16.8,16.03,16.3,130545,2.33E+11,1
103,2015/6/8,16.3,16.3,16.32,17.45,16.19,17.29,240327,2.47E+11,1
