,date,open,close,high,low,volume,code
0,1998-01-05,0.842,0.881,0.889,0.842,10762.27,600887
1,1998-01-06,0.881,0.896,0.931,0.864,16195.43,600887
2,1998-01-07,0.896,0.9,0.908,0.883,5648.24,600887
3,1998-01-08,0.883,0.886,0.915,0.883,5201.7,600887
4,1998-01-09,0.883,0.905,0.907,0.872,10113.58,600887
5,1998-01-12,0.905,0.879,0.919,0.879,10671.0,600887
6,1998-01-13,0.864,0.828,0.864,0.791,22042.51,600887
7,1998-01-14,0.828,0.835,0.846,0.819,13081.54,600887
8,1998-01-15,0.842,0.839,0.85,0.828,5844.92,600887
9,1998-01-16,0.842,0.846,0.864,0.835,5487.9,600887
10,1998-01-19,0.85,0.846,0.853,0.842,4206.33,600887
11,1998-01-20,0.846,0.85,0.875,0.839,8471.44,600887
12,1998-01-21,0.85,0.835,0.864,0.833,4043.01,600887
13,1998-01-22,0.836,0.843,0.85,0.833,3451.11,600887
14,1998-01-23,0.846,0.857,0.864,0.846,4519.15,600887
15,1998-02-09,0.883,0.864,0.883,0.853,5937.31,600887
16,1998-02-10,0.86,0.842,0.861,0.839,3254.8,600887
17,1998-02-11,0.834,0.849,0.853,0.834,4746.51,600887
18,1998-02-12,0.864,0.857,0.864,0.85,4229.24,600887
19,1998-02-13,0.857,0.857,0.86,0.839,4370.75,600887
20,1998-02-16,0.853,0.882,0.886,0.851,12044.71,600887
21,1998-02-17,0.883,0.901,0.911,0.875,17587.01,600887
22,1998-02-18,0.904,0.896,0.907,0.881,6334.01,600887
23,1998-02-19,0.894,0.886,0.894,0.875,4474.44,600887
24,1998-02-20,0.887,0.861,0.894,0.86,4814.6,600887
25,1998-02-23,0.846,0.838,0.85,0.821,5828.15,600887
26,1998-02-24,0.839,0.828,0.846,0.824,3297.0,600887
27,1998-02-25,0.827,0.794,0.827,0.776,8866.33,600887
28,1998-02-26,0.794,0.809,0.812,0.786,5275.97,600887
29,1998-02-27,0.815,0.804,0.818,0.792,2372.53,600887
30,1998-03-02,0.786,0.768,0.794,0.755,7533.6,600887
31,1998-03-03,0.767,0.769,0.791,0.758,5724.27,600887
32,1998-03-04,0.779,0.772,0.786,0.765,3972.19,600887
33,1998-03-05,0.772,0.776,0.79,0.772,3860.4,600887
34,1998-03-06,0.698,0.698,0.735,0.698,37470.54,600887
35,1998-03-09,0.687,0.716,0.719,0.68,18078.93,600887
36,1998-03-10,0.713,0.712,0.721,0.707,6061.56,600887
37,1998-03-11,0.712,0.705,0.719,0.703,6922.25,600887
38,1998-03-12,0.691,0.697,0.705,0.688,5379.43,600887
39,1998-03-13,0.701,0.697,0.701,0.691,3526.04,600887
40,1998-03-16,0.708,0.717,0.718,0.697,3091.35,600887
41,1998-03-17,0.725,0.728,0.736,0.721,7457.15,600887
42,1998-03-18,0.732,0.725,0.732,0.723,3825.8,600887
43,1998-03-19,0.718,0.712,0.725,0.71,2104.1,600887
44,1998-03-20,0.71,0.71,0.714,0.706,2878.36,600887
45,1998-03-23,0.712,0.73,0.736,0.706,4549.26,600887
46,1998-03-24,0.735,0.745,0.746,0.735,4695.38,600887
47,1998-03-25,0.76,0.736,0.764,0.728,4108.6,600887
48,1998-03-26,0.743,0.728,0.743,0.725,2843.6,600887
49,1998-03-27,0.726,0.73,0.739,0.717,4787.76,600887
50,1998-03-30,0.736,0.75,0.764,0.721,7985.4,600887
51,1998-03-31,0.754,0.754,0.761,0.736,4640.32,600887
52,1998-04-01,0.754,0.761,0.761,0.74,8083.96,600887
53,1998-04-02,0.761,0.772,0.791,0.758,8380.95,600887
54,1998-04-03,0.764,0.773,0.779,0.764,3952.05,600887
55,1998-04-06,0.776,0.773,0.777,0.766,7220.94,600887
56,1998-04-07,0.772,0.776,0.781,0.765,6049.45,600887
57,1998-04-08,0.777,0.779,0.783,0.771,5032.98,600887
58,1998-04-09,0.776,0.772,0.79,0.768,5240.55,600887
59,1998-04-10,0.765,0.776,0.791,0.764,5519.56,600887
60,1998-04-13,0.779,0.811,0.82,0.779,17538.46,600887
61,1998-04-14,0.81,0.811,0.815,0.802,6491.03,600887
62,1998-04-15,0.809,0.811,0.813,0.804,4198.02,600887
63,1998-04-16,0.803,0.813,0.816,0.799,6441.0,600887
64,1998-04-17,0.812,0.809,0.816,0.801,7682.24,600887
65,1998-04-20,0.805,0.839,0.848,0.802,15019.73,600887
66,1998-04-21,0.846,0.842,0.848,0.836,5196.37,600887
67,1998-04-22,0.816,0.839,0.847,0.816,4907.6,600887
68,1998-04-23,0.839,0.847,0.86,0.838,4597.62,600887
69,1998-04-24,0.846,0.84,0.856,0.839,4983.46,600887
70,1998-04-27,0.842,0.853,0.858,0.838,5846.64,600887
71,1998-04-28,0.861,0.846,0.862,0.842,6078.55,600887
72,1998-04-29,0.85,0.842,0.857,0.839,5689.2,600887
73,1998-04-30,0.846,0.826,0.846,0.824,7353.37,600887
74,1998-05-04,0.824,0.841,0.846,0.816,7083.6,600887
75,1998-05-05,0.839,0.831,0.839,0.824,3275.71,600887
76,1998-05-06,0.824,0.832,0.837,0.824,4205.81,600887
77,1998-05-07,0.824,0.809,0.831,0.798,5193.63,600887
78,1998-05-08,0.802,0.816,0.817,0.791,7946.84,600887
79,1998-05-11,0.813,0.794,0.813,0.78,6905.9,600887
80,1998-05-12,0.791,0.798,0.804,0.783,2970.97,600887
81,1998-05-13,0.787,0.815,0.815,0.785,4547.18,600887
82,1998-05-14,0.805,0.815,0.815,0.798,4475.14,600887
83,1998-05-15,0.809,0.736,0.814,0.736,4646.79,600887
84,1998-05-18,0.809,0.809,0.809,0.809,2327.78,600887
85,1998-05-19,0.873,0.843,0.875,0.831,12645.77,600887
86,1998-05-20,0.839,0.831,0.844,0.828,4831.81,600887
87,1998-05-21,0.828,0.821,0.835,0.81,6890.45,600887
88,1998-05-22,0.822,0.84,0.85,0.822,7660.83,600887
89,1998-05-25,0.839,0.839,0.853,0.832,5402.3,600887
90,1998-05-26,0.841,0.862,0.864,0.833,5784.14,600887
91,1998-05-27,0.862,0.843,0.864,0.842,5184.75,600887
92,1998-05-28,0.846,0.843,0.846,0.831,3492.78,600887
93,1998-05-29,0.846,0.838,0.855,0.776,5571.4,600887
94,1998-06-01,0.846,0.846,0.856,0.824,5791.74,600887
95,1998-06-02,0.846,0.839,0.849,0.836,4878.4,600887
96,1998-06-03,0.84,0.839,0.846,0.835,3308.52,600887
97,1998-06-04,0.839,0.835,0.839,0.817,2757.11,600887
98,1998-06-05,0.827,0.835,0.839,0.814,3675.47,600887
99,1998-06-08,0.822,0.826,0.831,0.821,1509.78,600887
100,1998-06-09,0.821,0.817,0.828,0.809,3477.54,600887
101,1998-06-10,0.813,0.835,0.835,0.809,6101.61,600887
102,1998-06-11,0.824,0.839,0.859,0.824,10256.62,600887
103,1998-06-12,0.85,0.883,0.897,0.842,16669.35,600887
104,1998-06-15,0.883,0.853,0.889,0.846,5224.62,600887
105,1998-06-16,0.849,0.846,0.853,0.824,4073.69,600887
106,1998-06-17,0.846,0.846,0.857,0.838,1595.0,600887
107,1998-06-18,0.85,0.85,0.864,0.842,2486.32,600887
108,1998-06-19,0.85,0.853,0.857,0.842,2217.05,600887
109,1998-06-22,0.868,0.881,0.891,0.857,8231.4,600887
110,1998-06-23,0.883,0.892,0.897,0.853,11538.42,600887
111,1998-06-24,0.889,0.879,0.916,0.874,8287.9,600887
112,1998-06-25,0.878,0.857,0.878,0.853,10473.38,600887
113,1998-06-29,0.875,0.828,0.879,0.814,7629.6,600887
114,1998-06-30,0.828,0.809,0.862,0.809,3492.6,600887
115,1998-07-01,0.831,0.796,0.831,0.792,3270.3,600887
116,1998-07-02,0.79,0.805,0.815,0.79,1933.92,600887
117,1998-07-03,0.813,0.797,0.813,0.796,2173.2,600887
118,1998-07-06,0.802,0.803,0.814,0.798,2762.8,600887
119,1998-07-07,0.802,0.805,0.81,0.801,1487.8,600887
120,1998-07-08,0.809,0.827,0.828,0.805,3386.05,600887
121,1998-07-09,0.827,0.823,0.831,0.819,1917.4,600887
122,1998-07-10,0.827,0.825,0.838,0.819,1588.92,600887
123,1998-07-13,0.828,0.828,0.834,0.821,1920.5,600887
124,1998-07-14,0.828,0.822,0.85,0.802,4303.38,600887
125,1998-07-15,0.82,0.837,0.844,0.805,3833.25,600887
126,1998-07-16,0.84,0.864,0.869,0.835,8083.31,600887
127,1998-07-17,0.861,0.846,0.865,0.835,3574.15,600887
128,1998-07-20,0.845,0.85,0.871,0.838,3922.72,600887
129,1998-07-21,0.846,0.862,0.866,0.846,3430.67,600887
130,1998-07-22,0.861,0.842,0.862,0.828,1863.6,600887
131,1998-07-23,0.841,0.824,0.842,0.813,3153.1,600887
132,1998-07-24,0.824,0.828,0.833,0.813,2857.64,600887
133,1998-07-27,0.831,0.826,0.839,0.817,2033.6,600887
134,1998-07-28,0.846,0.857,0.864,0.838,9480.84,600887
135,1998-07-29,0.862,0.853,0.878,0.851,6310.7,600887
136,1998-07-30,0.853,0.86,0.864,0.842,3992.85,600887
137,1998-07-31,0.867,0.851,0.873,0.851,2037.25,600887
138,1998-08-03,0.855,0.843,0.855,0.839,2182.31,600887
139,1998-08-04,0.837,0.844,0.851,0.83,2672.39,600887
140,1998-08-05,0.837,0.841,0.851,0.833,1794.5,600887
141,1998-08-06,0.847,0.829,0.847,0.825,1663.6,600887
142,1998-08-07,0.818,0.807,0.829,0.799,3270.8,600887
143,1998-08-10,0.795,0.783,0.801,0.781,3781.4,600887
144,1998-08-11,0.78,0.744,0.787,0.744,4515.36,600887
145,1998-08-12,0.762,0.76,0.77,0.729,7750.1,600887
146,1998-08-13,0.758,0.77,0.773,0.751,2371.32,600887
147,1998-08-14,0.766,0.74,0.769,0.736,3020.2,600887
148,1998-08-17,0.731,0.683,0.734,0.669,4927.9,600887
149,1998-08-18,0.67,0.68,0.717,0.67,5033.6,600887
150,1998-08-19,0.692,0.744,0.747,0.692,5233.43,600887
151,1998-08-20,0.74,0.734,0.74,0.718,6123.38,600887
152,1998-08-21,0.736,0.751,0.758,0.72,3689.75,600887
153,1998-08-24,0.751,0.741,0.751,0.734,4286.91,600887
154,1998-08-25,0.741,0.74,0.747,0.732,2280.52,600887
155,1998-08-26,0.739,0.724,0.739,0.718,4403.93,600887
156,1998-08-27,0.722,0.713,0.722,0.71,1475.0,600887
157,1998-08-28,0.706,0.697,0.706,0.692,3862.0,600887
158,1998-08-31,0.691,0.697,0.699,0.645,11848.54,600887
159,1998-09-01,0.693,0.68,0.693,0.67,3361.1,600887
160,1998-09-02,0.676,0.681,0.69,0.67,1410.43,600887
161,1998-09-03,0.682,0.696,0.698,0.682,1938.3,600887
162,1998-09-04,0.696,0.706,0.708,0.696,1638.35,600887
163,1998-09-07,0.713,0.714,0.729,0.703,1695.59,600887
164,1998-09-08,0.707,0.7,0.719,0.699,1845.0,600887
165,1998-09-09,0.695,0.715,0.715,0.692,2067.17,600887
166,1998-09-10,0.719,0.738,0.747,0.713,7093.7,600887
167,1998-09-11,0.737,0.735,0.754,0.734,5086.4,600887
168,1998-09-14,0.736,0.738,0.751,0.721,6238.12,600887
169,1998-09-15,0.744,0.773,0.777,0.731,6411.0,600887
170,1998-09-16,0.831,0.777,0.831,0.747,19371.32,600887
171,1998-09-17,0.78,0.743,0.78,0.739,6880.86,600887
172,1998-09-18,0.74,0.729,0.74,0.722,5091.04,600887
173,1998-09-21,0.725,0.729,0.732,0.715,2829.18,600887
174,1998-09-22,0.729,0.731,0.732,0.723,1554.21,600887
